%_Annual_J-D__________________ L-OTI(^S^o^N^C) Change 1957-2017                  
%   i   j     lon     lat    array(i,j)
  58  18  -65.00  -55.00       -0.2240
  59  18  -63.00  -55.00       -0.1197
  60  18  -61.00  -55.00       -0.0155
  61  18  -59.00  -55.00       -0.0023
  62  18  -57.00  -55.00        0.0371
  63  18  -55.00  -55.00        0.0371
  64  18  -53.00  -55.00        0.1314
  65  18  -51.00  -55.00        0.1314
  66  18  -49.00  -55.00        0.3307
  67  18  -47.00  -55.00        0.3971
  68  18  -45.00  -55.00        0.4218
  69  18  -43.00  -55.00        0.4464
  70  18  -41.00  -55.00        0.3648
  71  18  -39.00  -55.00        0.1201
  72  18  -37.00  -55.00        0.1201
  73  18  -35.00  -55.00       -0.0530
  74  18  -33.00  -55.00       -0.0530
  75  18  -31.00  -55.00        0.2760
  76  18  -29.00  -55.00        0.3857
  77  18  -27.00  -55.00        0.2268
  78  18  -25.00  -55.00        0.0678
  79  18  -23.00  -55.00        0.0432
  80  18  -21.00  -55.00       -0.0306
  81  18  -19.00  -55.00       -0.0306
  82  18  -17.00  -55.00       -0.0714
  83  18  -15.00  -55.00       -0.0714
  84  18  -13.00  -55.00       -0.0725
  85  18  -11.00  -55.00       -0.0728
  86  18   -9.00  -55.00       -0.0208
  87  18   -7.00  -55.00        0.0312
  88  18   -5.00  -55.00        0.0448
  89  18   -3.00  -55.00        0.1187
  90  18   -1.00  -55.00        0.1187
  91  18    1.00  -55.00        0.1948
  92  18    3.00  -55.00        0.1948
  93  18    5.00  -55.00        0.2741
  94  18    7.00  -55.00        0.3222
  95  18    9.00  -55.00        0.3598
  96  18   11.00  -55.00        0.3974
  97  18   13.00  -55.00        0.4249
  98  18   15.00  -55.00        0.4702
  99  18   17.00  -55.00        0.4702
 100  18   19.00  -55.00        0.5962
 101  18   21.00  -55.00        0.5962
 102  18   23.00  -55.00        0.6609
 103  18   25.00  -55.00        0.7002
 104  18   27.00  -55.00        0.6797
 105  18   29.00  -55.00        0.6684
 106  18   31.00  -55.00        0.6588
 107  18   33.00  -55.00        0.6300
 108  18   35.00  -55.00        0.6300
 109  18   37.00  -55.00        0.6103
 110  18   39.00  -55.00        0.6103
 111  18   41.00  -55.00        0.6208
 112  18   43.00  -55.00        0.6242
 113  18   45.00  -55.00        0.6140
 114  18   47.00  -55.00        0.6038
 115  18   49.00  -55.00        0.5900
 116  18   51.00  -55.00        0.5487
 117  18   53.00  -55.00        0.5487
 118  18   55.00  -55.00        0.5063
 119  18   57.00  -55.00        0.5063
 120  18   59.00  -55.00        0.4990
 121  18   61.00  -55.00        0.4966
 122  18   63.00  -55.00        0.4600
 123  18   65.00  -55.00        0.4235
 124  18   67.00  -55.00        0.4036
 125  18   69.00  -55.00        0.3437
 126  18   71.00  -55.00        0.3437
 127  18   73.00  -55.00        0.3218
 128  18   75.00  -55.00        0.3218
 129  18   77.00  -55.00        0.3533
 130  18   79.00  -55.00        0.3638
 131  18   81.00  -55.00        0.3978
 132  18   83.00  -55.00        0.4317
 133  18   85.00  -55.00        0.4305
 134  18   87.00  -55.00        0.4269
 135  18   89.00  -55.00        0.4269
 136  18   91.00  -55.00        0.4370
 137  18   93.00  -55.00        0.4370
 138  18   95.00  -55.00        0.4913
 139  18   97.00  -55.00        0.5094
 140  18   99.00  -55.00        0.4792
 141  18  101.00  -55.00        0.4489
 142  18  103.00  -55.00        0.4308
 143  18  105.00  -55.00        0.3765
 144  18  107.00  -55.00        0.3765
 145  18  109.00  -55.00        0.3438
 146  18  111.00  -55.00        0.3438
 147  18  113.00  -55.00        0.3295
 148  18  115.00  -55.00        0.3247
 149  18  117.00  -55.00        0.3244
 150  18  119.00  -55.00        0.3240
 151  18  121.00  -55.00        0.3142
 152  18  123.00  -55.00        0.2847
 153  18  125.00  -55.00        0.2847
 154  18  127.00  -55.00        0.2220
 155  18  129.00  -55.00        0.2220
 156  18  131.00  -55.00        0.2206
 157  18  133.00  -55.00        0.2201
 158  18  135.00  -55.00        0.1943
 159  18  137.00  -55.00        0.1685
 160  18  139.00  -55.00        0.1468
 161  18  141.00  -55.00        0.0820
 162  18  143.00  -55.00        0.0820
 163  18  145.00  -55.00        0.0412
 164  18  147.00  -55.00        0.0412
 165  18  149.00  -55.00        0.0210
 166  18  151.00  -55.00        0.0143
 167  18  153.00  -55.00        0.0326
 168  18  155.00  -55.00        0.0510
 169  18  157.00  -55.00        0.1199
 170  18  159.00  -55.00        0.3265
 171  18  161.00  -55.00        0.3265
 172  18  163.00  -55.00        0.0722
 173  18  165.00  -55.00        0.0722
 174  18  167.00  -55.00        0.0411
 175  18  169.00  -55.00        0.0307
 176  18  171.00  -55.00        0.0234
 177  18  173.00  -55.00        0.0160
 178  18  175.00  -55.00        0.0101
 179  18  177.00  -55.00       -0.0075
 180  18  179.00  -55.00       -0.0075
   1  19 -179.00  -53.00       -0.0644
   2  19 -177.00  -53.00       -0.0644
   3  19 -175.00  -53.00       -0.1193
   4  19 -173.00  -53.00       -0.1376
   5  19 -171.00  -53.00       -0.1555
   6  19 -169.00  -53.00       -0.1735
   7  19 -167.00  -53.00       -0.1570
   8  19 -165.00  -53.00       -0.1074
   9  19 -163.00  -53.00       -0.1074
  10  19 -161.00  -53.00        0.0063
  11  19 -159.00  -53.00        0.0063
  12  19 -157.00  -53.00        0.1068
  13  19 -155.00  -53.00        0.1403
  14  19 -153.00  -53.00        0.1430
  15  19 -151.00  -53.00        0.1456
  16  19 -149.00  -53.00        0.1364
  17  19 -147.00  -53.00        0.1086
  18  19 -145.00  -53.00        0.1086
  19  19 -143.00  -53.00        0.1376
  20  19 -141.00  -53.00        0.1376
  21  19 -139.00  -53.00        0.1785
  22  19 -137.00  -53.00        0.1921
  23  19 -135.00  -53.00        0.1509
  24  19 -133.00  -53.00        0.1097
  25  19 -131.00  -53.00        0.1051
  26  19 -129.00  -53.00        0.0913
  27  19 -127.00  -53.00        0.0913
  28  19 -125.00  -53.00        0.0995
  29  19 -123.00  -53.00        0.0995
  30  19 -121.00  -53.00        0.1000
  31  19 -119.00  -53.00        0.1001
  32  19 -117.00  -53.00        0.1782
  33  19 -115.00  -53.00        0.2563
  34  19 -113.00  -53.00        0.2779
  35  19 -111.00  -53.00        0.3427
  36  19 -109.00  -53.00        0.3427
  37  19 -107.00  -53.00        0.3192
  38  19 -105.00  -53.00        0.3192
  39  19 -103.00  -53.00        0.3330
  40  19 -101.00  -53.00        0.3376
  41  19  -99.00  -53.00        0.3511
  42  19  -97.00  -53.00        0.3647
  43  19  -95.00  -53.00        0.3397
  44  19  -93.00  -53.00        0.2647
  45  19  -91.00  -53.00        0.2647
  46  19  -89.00  -53.00        0.0206
  47  19  -87.00  -53.00        0.0206
  48  19  -85.00  -53.00       -0.0761
  49  19  -83.00  -53.00       -0.1084
  50  19  -81.00  -53.00       -0.1844
  51  19  -79.00  -53.00       -0.2604
  52  19  -77.00  -53.00       -0.1738
  53  19  -75.00  -53.00        0.0861
  54  19  -73.00  -53.00        0.0861
  55  19  -71.00  -53.00        0.5499
  56  19  -69.00  -53.00        0.5499
  57  19  -67.00  -53.00       -0.0523
  58  19  -65.00  -53.00       -0.2530
  59  19  -63.00  -53.00       -0.0917
  60  19  -61.00  -53.00        0.0697
  61  19  -59.00  -53.00        0.1005
  62  19  -57.00  -53.00        0.1929
  63  19  -55.00  -53.00        0.1929
  64  19  -53.00  -53.00        0.3122
  65  19  -51.00  -53.00        0.3122
  66  19  -49.00  -53.00        0.5228
  67  19  -47.00  -53.00        0.5930
  68  19  -45.00  -53.00        0.6098
  69  19  -43.00  -53.00        0.6266
  70  19  -41.00  -53.00        0.5390
  71  19  -39.00  -53.00        0.2761
  72  19  -37.00  -53.00        0.2761
  73  19  -35.00  -53.00        0.0854
  74  19  -33.00  -53.00        0.0854
  75  19  -31.00  -53.00        0.1050
  76  19  -29.00  -53.00        0.1115
  77  19  -27.00  -53.00        0.1204
  78  19  -25.00  -53.00        0.1294
  79  19  -23.00  -53.00        0.1218
  80  19  -21.00  -53.00        0.0991
  81  19  -19.00  -53.00        0.0991
  82  19  -17.00  -53.00        0.0477
  83  19  -15.00  -53.00        0.0477
  84  19  -13.00  -53.00        0.0153
  85  19  -11.00  -53.00        0.0045
  86  19   -9.00  -53.00        0.0231
  87  19   -7.00  -53.00        0.0417
  88  19   -5.00  -53.00        0.0428
  89  19   -3.00  -53.00        0.0459
  90  19   -1.00  -53.00        0.0459
  91  19    1.00  -53.00        0.0817
  92  19    3.00  -53.00        0.0817
  93  19    5.00  -53.00        0.1894
  94  19    7.00  -53.00        0.2253
  95  19    9.00  -53.00        0.2656
  96  19   11.00  -53.00        0.3059
  97  19   13.00  -53.00        0.3314
  98  19   15.00  -53.00        0.4077
  99  19   17.00  -53.00        0.4077
 100  19   19.00  -53.00        0.5205
 101  19   21.00  -53.00        0.5205
 102  19   23.00  -53.00        0.5975
 103  19   25.00  -53.00        0.6232
 104  19   27.00  -53.00        0.6179
 105  19   29.00  -53.00        0.6125
 106  19   31.00  -53.00        0.6055
 107  19   33.00  -53.00        0.5844
 108  19   35.00  -53.00        0.5844
 109  19   37.00  -53.00        0.5626
 110  19   39.00  -53.00        0.5626
 111  19   41.00  -53.00        0.5804
 112  19   43.00  -53.00        0.5863
 113  19   45.00  -53.00        0.5964
 114  19   47.00  -53.00        0.6065
 115  19   49.00  -53.00        0.5986
 116  19   51.00  -53.00        0.5747
 117  19   53.00  -53.00        0.5747
 118  19   55.00  -53.00        0.5569
 119  19   57.00  -53.00        0.5569
 120  19   59.00  -53.00        0.5698
 121  19   61.00  -53.00        0.5741
 122  19   63.00  -53.00        0.5492
 123  19   65.00  -53.00        0.5243
 124  19   67.00  -53.00        0.5128
 125  19   69.00  -53.00        0.4784
 126  19   71.00  -53.00        0.4784
 127  19   73.00  -53.00        0.4298
 128  19   75.00  -53.00        0.4298
 129  19   77.00  -53.00        0.4409
 130  19   79.00  -53.00        0.4446
 131  19   81.00  -53.00        0.4671
 132  19   83.00  -53.00        0.4896
 133  19   85.00  -53.00        0.4917
 134  19   87.00  -53.00        0.4978
 135  19   89.00  -53.00        0.4978
 136  19   91.00  -53.00        0.5111
 137  19   93.00  -53.00        0.5111
 138  19   95.00  -53.00        0.5572
 139  19   97.00  -53.00        0.5726
 140  19   99.00  -53.00        0.5304
 141  19  101.00  -53.00        0.4883
 142  19  103.00  -53.00        0.4693
 143  19  105.00  -53.00        0.4125
 144  19  107.00  -53.00        0.4125
 145  19  109.00  -53.00        0.3779
 146  19  111.00  -53.00        0.3779
 147  19  113.00  -53.00        0.3673
 148  19  115.00  -53.00        0.3638
 149  19  117.00  -53.00        0.3791
 150  19  119.00  -53.00        0.3945
 151  19  121.00  -53.00        0.3984
 152  19  123.00  -53.00        0.4101
 153  19  125.00  -53.00        0.4101
 154  19  127.00  -53.00        0.3934
 155  19  129.00  -53.00        0.3934
 156  19  131.00  -53.00        0.3668
 157  19  133.00  -53.00        0.3579
 158  19  135.00  -53.00        0.3315
 159  19  137.00  -53.00        0.3052
 160  19  139.00  -53.00        0.2906
 161  19  141.00  -53.00        0.2468
 162  19  143.00  -53.00        0.2468
 163  19  145.00  -53.00        0.2460
 164  19  147.00  -53.00        0.2460
 165  19  149.00  -53.00        0.2344
 166  19  151.00  -53.00        0.2305
 167  19  153.00  -53.00        0.2385
 168  19  155.00  -53.00        0.2465
 169  19  157.00  -53.00        0.2997
 170  19  159.00  -53.00        0.4594
 171  19  161.00  -53.00        0.4594
 172  19  163.00  -53.00        0.2315
 173  19  165.00  -53.00        0.2315
 174  19  167.00  -53.00        0.3507
 175  19  169.00  -53.00        0.3904
 176  19  171.00  -53.00        0.2271
 177  19  173.00  -53.00        0.0637
 178  19  175.00  -53.00        0.0511
 179  19  177.00  -53.00        0.0131
 180  19  179.00  -53.00        0.0131
   1  20 -179.00  -51.00       -0.0343
   2  20 -177.00  -51.00       -0.0343
   3  20 -175.00  -51.00       -0.0538
   4  20 -173.00  -51.00       -0.0603
   5  20 -171.00  -51.00       -0.0630
   6  20 -169.00  -51.00       -0.0657
   7  20 -167.00  -51.00       -0.0525
   8  20 -165.00  -51.00       -0.0131
   9  20 -163.00  -51.00       -0.0131
  10  20 -161.00  -51.00        0.1236
  11  20 -159.00  -51.00        0.1236
  12  20 -157.00  -51.00        0.2044
  13  20 -155.00  -51.00        0.2314
  14  20 -153.00  -51.00        0.2353
  15  20 -151.00  -51.00        0.2393
  16  20 -149.00  -51.00        0.2387
  17  20 -147.00  -51.00        0.2369
  18  20 -145.00  -51.00        0.2369
  19  20 -143.00  -51.00        0.2544
  20  20 -141.00  -51.00        0.2544
  21  20 -139.00  -51.00        0.2708
  22  20 -137.00  -51.00        0.2763
  23  20 -135.00  -51.00        0.2254
  24  20 -133.00  -51.00        0.1746
  25  20 -131.00  -51.00        0.1547
  26  20 -129.00  -51.00        0.0951
  27  20 -127.00  -51.00        0.0951
  28  20 -125.00  -51.00        0.0696
  29  20 -123.00  -51.00        0.0696
  30  20 -121.00  -51.00        0.0735
  31  20 -119.00  -51.00        0.0748
  32  20 -117.00  -51.00        0.1679
  33  20 -115.00  -51.00        0.2609
  34  20 -113.00  -51.00        0.2962
  35  20 -111.00  -51.00        0.4019
  36  20 -109.00  -51.00        0.4019
  37  20 -107.00  -51.00        0.3673
  38  20 -105.00  -51.00        0.3673
  39  20 -103.00  -51.00        0.3578
  40  20 -101.00  -51.00        0.3546
  41  20  -99.00  -51.00        0.3345
  42  20  -97.00  -51.00        0.3144
  43  20  -95.00  -51.00        0.2872
  44  20  -93.00  -51.00        0.2056
  45  20  -91.00  -51.00        0.2056
  46  20  -89.00  -51.00       -0.0205
  47  20  -87.00  -51.00       -0.0205
  48  20  -85.00  -51.00       -0.0792
  49  20  -83.00  -51.00       -0.0987
  50  20  -81.00  -51.00       -0.1715
  51  20  -79.00  -51.00       -0.2444
  52  20  -77.00  -51.00       -0.0424
  53  20  -75.00  -51.00        0.5634
  54  20  -73.00  -51.00        0.5634
  55  20  -71.00  -51.00        0.6014
  56  20  -69.00  -51.00        0.6014
  57  20  -67.00  -51.00       -0.0257
  58  20  -65.00  -51.00       -0.2347
  59  20  -63.00  -51.00       -0.0261
  60  20  -61.00  -51.00        0.1825
  61  20  -59.00  -51.00        0.2315
  62  20  -57.00  -51.00        0.3782
  63  20  -55.00  -51.00        0.3782
  64  20  -53.00  -51.00        0.5465
  65  20  -51.00  -51.00        0.5465
  66  20  -49.00  -51.00        0.7150
  67  20  -47.00  -51.00        0.7711
  68  20  -45.00  -51.00        0.7742
  69  20  -43.00  -51.00        0.7774
  70  20  -41.00  -51.00        0.6999
  71  20  -39.00  -51.00        0.4675
  72  20  -37.00  -51.00        0.4675
  73  20  -35.00  -51.00        0.2643
  74  20  -33.00  -51.00        0.2643
  75  20  -31.00  -51.00        0.2389
  76  20  -29.00  -51.00        0.2304
  77  20  -27.00  -51.00        0.2289
  78  20  -25.00  -51.00        0.2275
  79  20  -23.00  -51.00        0.2259
  80  20  -21.00  -51.00        0.2213
  81  20  -19.00  -51.00        0.2213
  82  20  -17.00  -51.00        0.1760
  83  20  -15.00  -51.00        0.1760
  84  20  -13.00  -51.00        0.1424
  85  20  -11.00  -51.00        0.1312
  86  20   -9.00  -51.00        0.0849
  87  20   -7.00  -51.00        0.0385
  88  20   -5.00  -51.00        0.0203
  89  20   -3.00  -51.00       -0.0343
  90  20   -1.00  -51.00       -0.0343
  91  20    1.00  -51.00        0.0148
  92  20    3.00  -51.00        0.0148
  93  20    5.00  -51.00        0.0882
  94  20    7.00  -51.00        0.1127
  95  20    9.00  -51.00        0.1520
  96  20   11.00  -51.00        0.1912
  97  20   13.00  -51.00        0.2122
  98  20   15.00  -51.00        0.2751
  99  20   17.00  -51.00        0.2751
 100  20   19.00  -51.00        0.3242
 101  20   21.00  -51.00        0.3242
 102  20   23.00  -51.00        0.4095
 103  20   25.00  -51.00        0.4379
 104  20   27.00  -51.00        0.4399
 105  20   29.00  -51.00        0.4418
 106  20   31.00  -51.00        0.4444
 107  20   33.00  -51.00        0.4520
 108  20   35.00  -51.00        0.4520
 109  20   37.00  -51.00        0.4272
 110  20   39.00  -51.00        0.4272
 111  20   41.00  -51.00        0.4580
 112  20   43.00  -51.00        0.4683
 113  20   45.00  -51.00        0.5094
 114  20   47.00  -51.00        0.5505
 115  20   49.00  -51.00        0.5627
 116  20   51.00  -51.00        0.5990
 117  20   53.00  -51.00        0.5990
 118  20   55.00  -51.00        0.6208
 119  20   57.00  -51.00        0.6208
 120  20   59.00  -51.00        0.6384
 121  20   61.00  -51.00        0.6442
 122  20   63.00  -51.00        0.6276
 123  20   65.00  -51.00        0.6109
 124  20   67.00  -51.00        0.6027
 125  20   69.00  -51.00        0.5782
 126  20   71.00  -51.00        0.5782
 127  20   73.00  -51.00        0.5202
 128  20   75.00  -51.00        0.5202
 129  20   77.00  -51.00        0.5135
 130  20   79.00  -51.00        0.5113
 131  20   81.00  -51.00        0.5478
 132  20   83.00  -51.00        0.5843
 133  20   85.00  -51.00        0.5926
 134  20   87.00  -51.00        0.6176
 135  20   89.00  -51.00        0.6176
 136  20   91.00  -51.00        0.6206
 137  20   93.00  -51.00        0.6206
 138  20   95.00  -51.00        0.6530
 139  20   97.00  -51.00        0.6638
 140  20   99.00  -51.00        0.6098
 141  20  101.00  -51.00        0.5557
 142  20  103.00  -51.00        0.5305
 143  20  105.00  -51.00        0.4550
 144  20  107.00  -51.00        0.4550
 145  20  109.00  -51.00        0.4361
 146  20  111.00  -51.00        0.4361
 147  20  113.00  -51.00        0.4360
 148  20  115.00  -51.00        0.4360
 149  20  117.00  -51.00        0.4462
 150  20  119.00  -51.00        0.4564
 151  20  121.00  -51.00        0.4625
 152  20  123.00  -51.00        0.4808
 153  20  125.00  -51.00        0.4808
 154  20  127.00  -51.00        0.4865
 155  20  129.00  -51.00        0.4865
 156  20  131.00  -51.00        0.4580
 157  20  133.00  -51.00        0.4484
 158  20  135.00  -51.00        0.4465
 159  20  137.00  -51.00        0.4446
 160  20  139.00  -51.00        0.4473
 161  20  141.00  -51.00        0.4556
 162  20  143.00  -51.00        0.4556
 163  20  145.00  -51.00        0.4556
 164  20  147.00  -51.00        0.4556
 165  20  149.00  -51.00        0.4282
 166  20  151.00  -51.00        0.4191
 167  20  153.00  -51.00        0.4186
 168  20  155.00  -51.00        0.4182
 169  20  157.00  -51.00        0.4174
 170  20  159.00  -51.00        0.4152
 171  20  161.00  -51.00        0.4152
 172  20  163.00  -51.00        0.3343
 173  20  165.00  -51.00        0.3343
 174  20  167.00  -51.00        0.3499
 175  20  169.00  -51.00        0.3551
 176  20  171.00  -51.00        0.2309
 177  20  173.00  -51.00        0.1068
 178  20  175.00  -51.00        0.0935
 179  20  177.00  -51.00        0.0536
 180  20  179.00  -51.00        0.0536
   1  21 -179.00  -49.00        0.0553
   2  21 -177.00  -49.00        0.0553
   3  21 -175.00  -49.00        0.0594
   4  21 -173.00  -49.00        0.0607
   5  21 -171.00  -49.00        0.0775
   6  21 -169.00  -49.00        0.0942
   7  21 -167.00  -49.00        0.1113
   8  21 -165.00  -49.00        0.1626
   9  21 -163.00  -49.00        0.1626
  10  21 -161.00  -49.00        0.2785
  11  21 -159.00  -49.00        0.2785
  12  21 -157.00  -49.00        0.3237
  13  21 -155.00  -49.00        0.3388
  14  21 -153.00  -49.00        0.3434
  15  21 -151.00  -49.00        0.3479
  16  21 -149.00  -49.00        0.3530
  17  21 -147.00  -49.00        0.3681
  18  21 -145.00  -49.00        0.3681
  19  21 -143.00  -49.00        0.3707
  20  21 -141.00  -49.00        0.3707
  21  21 -139.00  -49.00        0.3399
  22  21 -137.00  -49.00        0.3296
  23  21 -135.00  -49.00        0.2694
  24  21 -133.00  -49.00        0.2092
  25  21 -131.00  -49.00        0.1762
  26  21 -129.00  -49.00        0.0773
  27  21 -127.00  -49.00        0.0773
  28  21 -125.00  -49.00        0.0418
  29  21 -123.00  -49.00        0.0418
  30  21 -121.00  -49.00        0.0948
  31  21 -119.00  -49.00        0.1125
  32  21 -117.00  -49.00        0.2226
  33  21 -115.00  -49.00        0.3328
  34  21 -113.00  -49.00        0.3627
  35  21 -111.00  -49.00        0.4524
  36  21 -109.00  -49.00        0.4524
  37  21 -107.00  -49.00        0.3906
  38  21 -105.00  -49.00        0.3906
  39  21 -103.00  -49.00        0.3647
  40  21 -101.00  -49.00        0.3560
  41  21  -99.00  -49.00        0.3163
  42  21  -97.00  -49.00        0.2766
  43  21  -95.00  -49.00        0.2538
  44  21  -93.00  -49.00        0.1854
  45  21  -91.00  -49.00        0.1854
  46  21  -89.00  -49.00        0.0097
  47  21  -87.00  -49.00        0.0097
  48  21  -85.00  -49.00       -0.0104
  49  21  -83.00  -49.00       -0.0170
  50  21  -81.00  -49.00       -0.0859
  51  21  -79.00  -49.00       -0.1549
  52  21  -77.00  -49.00       -0.1319
  53  21  -75.00  -49.00       -0.0631
  54  21  -73.00  -49.00       -0.0631
  55  21  -71.00  -49.00        0.6651
  56  21  -69.00  -49.00        0.6651
  57  21  -67.00  -49.00        0.0683
  58  21  -65.00  -49.00       -0.1306
  59  21  -63.00  -49.00        0.1024
  60  21  -61.00  -49.00        0.3355
  61  21  -59.00  -49.00        0.4153
  62  21  -57.00  -49.00        0.6545
  63  21  -55.00  -49.00        0.6545
  64  21  -53.00  -49.00        0.9029
  65  21  -51.00  -49.00        0.9029
  66  21  -49.00  -49.00        0.9867
  67  21  -47.00  -49.00        1.0147
  68  21  -45.00  -49.00        0.9795
  69  21  -43.00  -49.00        0.9443
  70  21  -41.00  -49.00        0.8760
  71  21  -39.00  -49.00        0.6710
  72  21  -37.00  -49.00        0.6710
  73  21  -35.00  -49.00        0.4912
  74  21  -33.00  -49.00        0.4912
  75  21  -31.00  -49.00        0.4334
  76  21  -29.00  -49.00        0.4141
  77  21  -27.00  -49.00        0.3967
  78  21  -25.00  -49.00        0.3793
  79  21  -23.00  -49.00        0.3793
  80  21  -21.00  -49.00        0.3792
  81  21  -19.00  -49.00        0.3792
  82  21  -17.00  -49.00        0.3043
  83  21  -15.00  -49.00        0.3043
  84  21  -13.00  -49.00        0.2576
  85  21  -11.00  -49.00        0.2420
  86  21   -9.00  -49.00        0.1537
  87  21   -7.00  -49.00        0.0654
  88  21   -5.00  -49.00        0.0405
  89  21   -3.00  -49.00       -0.0343
  90  21   -1.00  -49.00       -0.0343
  91  21    1.00  -49.00        0.0110
  92  21    3.00  -49.00        0.0110
  93  21    5.00  -49.00        0.0575
  94  21    7.00  -49.00        0.0730
  95  21    9.00  -49.00        0.1262
  96  21   11.00  -49.00        0.1794
  97  21   13.00  -49.00        0.1910
  98  21   15.00  -49.00        0.2256
  99  21   17.00  -49.00        0.2256
 100  21   19.00  -49.00        0.2459
 101  21   21.00  -49.00        0.2459
 102  21   23.00  -49.00        0.3205
 103  21   25.00  -49.00        0.3454
 104  21   27.00  -49.00        0.3657
 105  21   29.00  -49.00        0.3859
 106  21   31.00  -49.00        0.3888
 107  21   33.00  -49.00        0.3974
 108  21   35.00  -49.00        0.3974
 109  21   37.00  -49.00        0.3405
 110  21   39.00  -49.00        0.3405
 111  21   41.00  -49.00        0.3839
 112  21   43.00  -49.00        0.3984
 113  21   45.00  -49.00        0.4775
 114  21   47.00  -49.00        0.5566
 115  21   49.00  -49.00        0.5853
 116  21   51.00  -49.00        0.6712
 117  21   53.00  -49.00        0.6712
 118  21   55.00  -49.00        0.7208
 119  21   57.00  -49.00        0.7208
 120  21   59.00  -49.00        0.7154
 121  21   61.00  -49.00        0.7135
 122  21   63.00  -49.00        0.6974
 123  21   65.00  -49.00        0.6812
 124  21   67.00  -49.00        0.7757
 125  21   69.00  -49.00        1.0592
 126  21   71.00  -49.00        1.0592
 127  21   73.00  -49.00        0.6169
 128  21   75.00  -49.00        0.6169
 129  21   77.00  -49.00        0.6071
 130  21   79.00  -49.00        0.6038
 131  21   81.00  -49.00        0.6539
 132  21   83.00  -49.00        0.7039
 133  21   85.00  -49.00        0.7119
 134  21   87.00  -49.00        0.7360
 135  21   89.00  -49.00        0.7360
 136  21   91.00  -49.00        0.7432
 137  21   93.00  -49.00        0.7432
 138  21   95.00  -49.00        0.7622
 139  21   97.00  -49.00        0.7686
 140  21   99.00  -49.00        0.7094
 141  21  101.00  -49.00        0.6502
 142  21  103.00  -49.00        0.6088
 143  21  105.00  -49.00        0.4846
 144  21  107.00  -49.00        0.4846
 145  21  109.00  -49.00        0.4674
 146  21  111.00  -49.00        0.4674
 147  21  113.00  -49.00        0.4822
 148  21  115.00  -49.00        0.4872
 149  21  117.00  -49.00        0.4892
 150  21  119.00  -49.00        0.4912
 151  21  121.00  -49.00        0.4930
 152  21  123.00  -49.00        0.4985
 153  21  125.00  -49.00        0.4985
 154  21  127.00  -49.00        0.5090
 155  21  129.00  -49.00        0.5090
 156  21  131.00  -49.00        0.5032
 157  21  133.00  -49.00        0.5013
 158  21  135.00  -49.00        0.5290
 159  21  137.00  -49.00        0.5567
 160  21  139.00  -49.00        0.5736
 161  21  141.00  -49.00        0.6242
 162  21  143.00  -49.00        0.6242
 163  21  145.00  -49.00        0.6205
 164  21  147.00  -49.00        0.6205
 165  21  149.00  -49.00        0.5672
 166  21  151.00  -49.00        0.5495
 167  21  153.00  -49.00        0.5322
 168  21  155.00  -49.00        0.5149
 169  21  157.00  -49.00        0.5106
 170  21  159.00  -49.00        0.4977
 171  21  161.00  -49.00        0.4977
 172  21  163.00  -49.00        0.3996
 173  21  165.00  -49.00        0.3996
 174  21  167.00  -49.00        0.2755
 175  21  169.00  -49.00        0.2342
 176  21  171.00  -49.00        0.1916
 177  21  173.00  -49.00        0.1491
 178  21  175.00  -49.00        0.1402
 179  21  177.00  -49.00        0.1138
 180  21  179.00  -49.00        0.1138
   1  22 -179.00  -47.00        0.1780
   2  22 -177.00  -47.00        0.1780
   3  22 -175.00  -47.00        0.1969
   4  22 -173.00  -47.00        0.2032
   5  22 -171.00  -47.00        0.2289
   6  22 -169.00  -47.00        0.2545
   7  22 -167.00  -47.00        0.2825
   8  22 -165.00  -47.00        0.3664
   9  22 -163.00  -47.00        0.3664
  10  22 -161.00  -47.00        0.4521
  11  22 -159.00  -47.00        0.4521
  12  22 -157.00  -47.00        0.4568
  13  22 -155.00  -47.00        0.4583
  14  22 -153.00  -47.00        0.4555
  15  22 -151.00  -47.00        0.4526
  16  22 -149.00  -47.00        0.4600
  17  22 -147.00  -47.00        0.4824
  18  22 -145.00  -47.00        0.4824
  19  22 -143.00  -47.00        0.4675
  20  22 -141.00  -47.00        0.4675
  21  22 -139.00  -47.00        0.4163
  22  22 -137.00  -47.00        0.3993
  23  22 -135.00  -47.00        0.3241
  24  22 -133.00  -47.00        0.2489
  25  22 -131.00  -47.00        0.2104
  26  22 -129.00  -47.00        0.0948
  27  22 -127.00  -47.00        0.0948
  28  22 -125.00  -47.00        0.0606
  29  22 -123.00  -47.00        0.0606
  30  22 -121.00  -47.00        0.1604
  31  22 -119.00  -47.00        0.1936
  32  22 -117.00  -47.00        0.2997
  33  22 -115.00  -47.00        0.4058
  34  22 -113.00  -47.00        0.4229
  35  22 -111.00  -47.00        0.4740
  36  22 -109.00  -47.00        0.4740
  37  22 -107.00  -47.00        0.3996
  38  22 -105.00  -47.00        0.3996
  39  22 -103.00  -47.00        0.3891
  40  22 -101.00  -47.00        0.3856
  41  22  -99.00  -47.00        0.3383
  42  22  -97.00  -47.00        0.2910
  43  22  -95.00  -47.00        0.2741
  44  22  -93.00  -47.00        0.2235
  45  22  -91.00  -47.00        0.2235
  46  22  -89.00  -47.00        0.0872
  47  22  -87.00  -47.00        0.0872
  48  22  -85.00  -47.00        0.1049
